threshold,df_fraction,patient_auc,sensitivity_at_spec0p8,threshold_for_spec0p8,sensitivity_at_spec0p85,threshold_for_spec0p85,sensitivity_at_spec0p9,threshold_for_spec0p9
0.38,0.8532110091743118,0.6688311688311688,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.385,0.8807339449541286,0.6688311688311688,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.39,0.9143730886850153,0.6688311688311688,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.395,0.9266055045871561,0.6688311688311688,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.4,0.9510703363914373,0.6688311688311688,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.405,0.9755351681957186,0.6688311688311688,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.41000000000000003,0.9785932721712537,0.6688311688311688,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.41500000000000004,0.981651376146789,0.6688311688311688,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.42,0.9847094801223243,0.6688311688311688,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.425,0.9877675840978593,0.6688311688311688,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.43,0.9908256880733946,0.6682900432900433,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.435,0.9908256880733946,0.6682900432900433,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.44,0.9908256880733946,0.6682900432900433,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.445,0.9908256880733946,0.6682900432900433,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.45,0.9908256880733946,0.6682900432900433,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.455,0.9908256880733946,0.6682900432900433,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.46,0.9938837920489296,0.6682900432900433,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.465,0.9938837920489296,0.6682900432900433,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.47000000000000003,0.9938837920489296,0.6682900432900433,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.47500000000000003,0.9938837920489296,0.6682900432900433,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.48,0.9938837920489296,0.6682900432900433,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.485,0.9938837920489296,0.6682900432900433,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.49,0.9969418960244649,0.6682900432900433,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.495,0.9969418960244649,0.6682900432900433,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.5,1.0,0.6682900432900433,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
