threshold,df_fraction,patient_auc,sensitivity_at_spec0p8,threshold_for_spec0p8,sensitivity_at_spec0p85,threshold_for_spec0p85,sensitivity_at_spec0p9,threshold_for_spec0p9
0.21,0.15596330275229356,0.702922077922078,0.47619047619047616,0.32,0.47619047619047616,0.335,0.38095238095238093,0.37
0.215,0.16207951070336393,0.702922077922078,0.47619047619047616,0.32,0.47619047619047616,0.335,0.38095238095238093,0.37
0.22,0.1743119266055046,0.7045454545454546,0.47619047619047616,0.32,0.47619047619047616,0.335,0.38095238095238093,0.37
0.225,0.1834862385321101,0.7083333333333334,0.47619047619047616,0.32,0.47619047619047616,0.335,0.38095238095238093,0.37
0.23,0.18960244648318045,0.7088744588744589,0.47619047619047616,0.32,0.47619047619047616,0.335,0.38095238095238093,0.37
0.23500000000000001,0.19571865443425077,0.7067099567099567,0.47619047619047616,0.32,0.47619047619047616,0.335,0.38095238095238093,0.37
0.24,0.20795107033639146,0.6985930735930735,0.47619047619047616,0.325,0.42857142857142855,0.34500000000000003,0.38095238095238093,0.37
0.245,0.22629969418960247,0.6904761904761905,0.47619047619047616,0.33,0.42857142857142855,0.355,0.38095238095238093,0.37
0.25,0.23241590214067276,0.6904761904761905,0.47619047619047616,0.33,0.42857142857142855,0.355,0.38095238095238093,0.37
0.255,0.2629969418960244,0.7224025974025974,0.5238095238095238,0.33,0.42857142857142855,0.355,0.38095238095238093,0.37
0.26,0.2782874617737003,0.7180735930735931,0.5238095238095238,0.33,0.42857142857142855,0.355,0.38095238095238093,0.37
0.265,0.29357798165137616,0.7294372294372294,0.5714285714285714,0.33,0.42857142857142855,0.355,0.38095238095238093,0.37
0.27,0.3058103975535168,0.7343073593073594,0.5714285714285714,0.33,0.42857142857142855,0.355,0.38095238095238093,0.37
0.275,0.3119266055045872,0.7283549783549783,0.5238095238095238,0.335,0.42857142857142855,0.36,0.38095238095238093,0.37
0.28,0.327217125382263,0.7229437229437229,0.5238095238095238,0.34,0.42857142857142855,0.36,0.38095238095238093,0.37
0.28500000000000003,0.35168195718654444,0.7115800865800865,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.29,0.3761467889908257,0.7077922077922078,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.295,0.3853211009174312,0.7061688311688312,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.3,0.40978593272171254,0.7056277056277056,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.305,0.44342507645259943,0.704004329004329,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.31,0.45565749235474,0.7018398268398268,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.315,0.4831804281345565,0.7056277056277056,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.32,0.5045871559633027,0.7056277056277056,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
