image_id,image_name,study_id,patient_id,patient_key,pair_key,frame_num,contrast,relative_path,file_exists,load_success,error_message,blur_score,brightness_mean,brightness_std,intensity_min,intensity_max,contrast_std,edge_density,width,height
img_4eae8177084d,mar2020_010_1_2.jpg,mar2020,010,mar2020_010,mar2020_010_1,1,darkfield,mar2020/mar2020_images/mar2020_010_1_2.jpg,True,True,,51.65419006347656,169.3762664794922,45.17875671386719,14.0,243.0,6.220578193664551,0.09855595341435185,4032,3024
img_b1fd69f21f58,mar2020_010_2_0.jpg,mar2020,010,mar2020_010,mar2020_010_2,2,brightfield,mar2020/mar2020_images/mar2020_010_2_0.jpg,True,True,,60.512054443359375,21.092697143554688,16.04863929748535,0.0,255.0,6.911139488220215,0.04087094907407408,4032,3024
img_f19234c267a3,mar2020_010_2_2.jpg,mar2020,010,mar2020_010,mar2020_010_2,2,darkfield,mar2020/mar2020_images/mar2020_010_2_2.jpg,True,True,,115.97171783447266,164.7180938720703,48.79045867919922,0.0,243.0,9.425439834594727,0.07476128472222222,4032,3024
img_bfb8ae89d20f,mar2020_011_0_0.jpg,mar2020,011,mar2020_011,mar2020_011_0,0,brightfield,mar2020/mar2020_images/mar2020_011_0_0.jpg,True,True,,134.0885772705078,62.45820617675781,51.71163558959961,5.0,255.0,7.219508647918701,0.07829002097800926,4032,3024
img_df851723d510,mar2020_011_0_2.jpg,mar2020,011,mar2020_011,mar2020_011_0,0,darkfield,mar2020/mar2020_images/mar2020_011_0_2.jpg,True,True,,86.85447692871094,152.58604431152344,52.981910705566406,9.0,236.0,6.529788017272949,0.11490433304398148,4032,3024
img_5072bdcd22e5,mar2020_011_1_0.jpg,mar2020,011,mar2020_011,mar2020_011_1,1,brightfield,mar2020/mar2020_images/mar2020_011_1_0.jpg,True,True,,127.23409271240234,51.52558898925781,20.933990478515625,7.0,252.0,6.376865386962891,0.04594138816550926,4032,3024
img_72620242156d,mar2020_011_1_2.jpg,mar2020,011,mar2020_011,mar2020_011_1,1,darkfield,mar2020/mar2020_images/mar2020_011_1_2.jpg,True,True,,51.398948669433594,156.58438110351562,49.610897064208984,7.0,233.0,5.0598883628845215,0.11295120804398148,4032,3024
img_dd2f10d2631e,mar2020_011_2_0.jpg,mar2020,011,mar2020_011,mar2020_011_2,2,brightfield,mar2020/mar2020_images/mar2020_011_2_0.jpg,True,True,,14.619063377380371,38.25149917602539,17.143207550048828,1.0,246.0,3.0078978538513184,0.03102394386574074,4032,3024
img_f27861db4b4f,mar2020_011_2_2.jpg,mar2020,011,mar2020_011,mar2020_011_2,2,darkfield,mar2020/mar2020_images/mar2020_011_2_2.jpg,True,True,,25.545988082885742,155.5585174560547,52.838375091552734,1.0,236.0,4.255619525909424,0.11188874421296297,4032,3024
img_87dab6f9948a,mar2020_012_0_0.jpg,mar2020,012,mar2020_012,mar2020_012_0,0,brightfield,mar2020/mar2020_images/mar2020_012_0_0.jpg,True,True,,50.789730072021484,54.98214340209961,45.36023712158203,4.0,255.0,6.223372459411621,0.05650499131944445,4032,3024
img_aa11318a51c2,mar2020_012_0_2.jpg,mar2020,012,mar2020_012,mar2020_012_0,0,darkfield,mar2020/mar2020_images/mar2020_012_0_2.jpg,True,True,,78.39298248291016,152.67169189453125,52.90181350708008,0.0,247.0,6.761597633361816,0.09661413122106481,4032,3024
img_340c40776319,mar2020_012_1_0.jpg,mar2020,012,mar2020_012,mar2020_012_1,1,brightfield,mar2020/mar2020_images/mar2020_012_1_0.jpg,True,True,,135.51808166503906,31.93332862854004,18.003591537475586,1.0,254.0,9.137713432312012,0.04709427445023148,4032,3024
img_29acf788f8d2,mar2020_012_1_2.jpg,mar2020,012,mar2020_012,mar2020_012_1,1,darkfield,mar2020/mar2020_images/mar2020_012_1_2.jpg,True,True,,141.31210327148438,166.1282501220703,48.86643600463867,0.0,245.0,8.380535125732422,0.07661720558449074,4032,3024
img_3a290ef08f56,mar2020_012_2_0.jpg,mar2020,012,mar2020_012,mar2020_012_2,2,brightfield,mar2020/mar2020_images/mar2020_012_2_0.jpg,True,True,,29.550870895385742,35.05500793457031,14.290912628173828,0.0,255.0,5.112853050231934,0.024206090856481483,4032,3024
img_04803a6ff4ab,mar2020_012_2_2.jpg,mar2020,012,mar2020_012,mar2020_012_2,2,darkfield,mar2020/mar2020_images/mar2020_012_2_2.jpg,True,True,,47.20563507080078,167.36346435546875,47.97515869140625,0.0,241.0,5.624195098876953,0.08636022497106481,4032,3024
img_c4799e06f8db,mar2020_013_0_0.jpg,mar2020,013,mar2020_013,mar2020_013_0,0,brightfield,mar2020/mar2020_images/mar2020_013_0_0.jpg,True,True,,101.10391998291016,55.273292541503906,53.379058837890625,3.0,255.0,6.8997087478637695,0.0533447265625,4032,3024
img_5951fb4e787e,mar2020_013_0_2.jpg,mar2020,013,mar2020_013,mar2020_013_0,0,darkfield,mar2020/mar2020_images/mar2020_013_0_2.jpg,True,True,,67.8702163696289,149.01373291015625,55.907859802246094,12.0,236.0,6.265050411224365,0.11641438802083333,4032,3024
img_21e21cc49979,mar2020_013_1_0.jpg,mar2020,013,mar2020_013,mar2020_013_1,1,brightfield,mar2020/mar2020_images/mar2020_013_1_0.jpg,True,True,,128.8981475830078,46.442684173583984,22.240251541137695,7.0,255.0,9.013721466064453,0.045665599681712965,4032,3024
img_7a2ab17e9080,mar2020_013_1_2.jpg,mar2020,013,mar2020_013,mar2020_013_1,1,darkfield,mar2020/mar2020_images/mar2020_013_1_2.jpg,True,True,,131.11143493652344,156.7344512939453,50.08367919921875,8.0,237.0,8.05260944366455,0.09909622757523148,4032,3024
