path,record_type,issue,details
mar2020/mar2020_images/mar2020_017_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_017_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_017_1_0.jpg
mar2020/mar2020_images/mar2020_017_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_017_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_017_1_2.jpg
mar2020/mar2020_images/mar2020_017_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_017_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_017_2_0.jpg
mar2020/mar2020_images/mar2020_017_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_017_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_017_2_2.jpg
mar2020/mar2020_images/mar2020_018_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_018_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_018_0_0.jpg
mar2020/mar2020_images/mar2020_018_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_018_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_018_0_2.jpg
mar2020/mar2020_images/mar2020_018_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_018_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_018_1_0.jpg
mar2020/mar2020_images/mar2020_018_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_018_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_018_1_2.jpg
mar2020/mar2020_images/mar2020_018_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_018_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_018_2_0.jpg
mar2020/mar2020_images/mar2020_018_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_018_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_018_2_2.jpg
